# light	lc	os
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M27	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G7_Workstation4_MM27_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M28	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G8_Workstation4_MM28_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M28	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G8_Workstation4_MM28_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M29	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G9_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G9_Workstation4_MM_29_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M29	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G9_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G9_Workstation4_MM_29_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M30	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G10_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G10_Workstation2_MM30_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M30	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G10_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G10_Workstation2_MM30_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M31	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G13_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G13_Workstation4_MM31_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M31	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G13_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G13_Workstation4_MM31_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M32	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G14_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G14_Workstation4_MM32_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M32	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G14_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G14_Workstation4_MM32_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M33	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G1_Workstation4_MM33_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M33	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G1_Workstation4_MM33_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M34	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G2_Workstation4_MM34_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M34	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G2_Workstation4_MM34_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M35	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G3_Workstation4_MM35_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M35	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G3_Workstation4_MM35_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M37	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G7_Workstation4_MM37_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M37	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G7_Workstation4_MM37_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M38	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G8_Workstation4_MM38_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M38	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G8_Workstation4_MM38_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M39	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G9_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G9_Workstation4_MM39_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M39	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G9_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G9_Workstation4_MM39_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M4	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z1_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z1_G3_AISLE11_6R_MM4_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M4	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z1_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z1_G3_AISLE11_6R_MM4_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M40	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G10_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G10_Workstation2_MM40_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M40	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G10_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G10_Workstation2_MM40_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M44	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G2_Male_WC_Lobby_MM44_TRIGGER
